State Name,state,Registration Count
Alabama,AL,4750.00
Alaska,AK,1290.00
Arizona,AZ,40740.00
Arkansas,AR,2390.00
California,CA,563070.00
Colorado,CO,37000.00
Connecticut,CT,13350.00
Delaware,DE,3010.00
District of Columbia,DC,3700.00
Florida,FL,95640.00
Georgia,GA,34020.00
Hawaii,HI,14220.00
Idaho,ID,3500.00
Illinois,IL,36520.00
Indiana,IN,10360.00
Iowa,IA,3660.00
Kansas,KS,4500.00
Kentucky,KY,4220.00
Louisiana,LA,3180.00
Maine,ME,3040.00
Maryland,MD,25630.00
Massachusetts,MA,30470.00
Michigan,MI,17460.00
Minnesota,MN,15000.00
Mississippi,MS,1310.00
Missouri,MO,10050.00
Montana,MT,1650.00
Nebraska,NE,2710.00
Nevada,NV,17380.00
New Hampshire,NH,4000.00
New Jersey,NJ,47830.00
New Mexico,NM,4150.00
New York,NY,51870.00
North Carolina,NC,25190.00
North Dakota,ND,380.00
Ohio,OH,21200.00
Oklahoma,OK,7080.00
Oregon,OR,30290.00
Pennsylvania,PA,26770.00
Rhode Island,RI,2550.00
South Carolina,SC,7440.00
South Dakota,SD,680.00
Tennessee,TN,12160.00
Texas,TX,80900.00
Utah,UT,16480.00
Vermont,VT,3370.00
Virginia,VA,30660.00
Washington,WA,66810.00
West Virginia,WV,1010.00
Wisconsin,WI,9330.00
Wyoming,WY,510.00
